HIT_ID,Sentence,Start_Offset,End_Offset,Complex_Phrase,Native_Annotators,Non_Native_Annotators,Total_Annotators
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",15,48,Aboriginal land rights legislaton,1,1,2
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",26,48,land rights legislaton,1,0,1
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",38,48,legislaton,10,5,15
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",66,74,preceded,8,8,16
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",100,110,Aboriginal,2,1,3
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",100,119,Aboriginal protests,1,1,2
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",141,169,Aboriginal Stockmen s Strike,1,0,1
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",152,160,Stockmen,1,1,2
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",152,169,Stockmen s Strike,0,1,1
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",164,170,Strike,0,1,1
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",182,188,Yolngu,1,0,1
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",182,202,Yolngu Bark Petition,1,0,1
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",194,202,Petition,2,1,3
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",218,237,Wave Hill Walk-Off ,1,0,1
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",228,236,Walk-Off,0,3,3
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",254,280,Aboriginal Lands Trust Act,1,0,1
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",271,276,Trust,0,1,1
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"The passing of Aboriginal land rights legislaton in Australia was preceded by a number of important Aboriginal protests , including the 1946 Aboriginal Stockmen 's Strike , the 1963 Yolngu Bark Petition , and the 1966 Wave Hill Walk-Off , as well as the Aboriginal Lands Trust Act 1966 ( SA ) , which established the South Australian Aboriginal Lands Trust .",301,312,established,5,3,8
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"However , it was not until the 1970s , when indigenous Australians ( both Australian Aborigines and Torres Strait Islanders ) became more politically active , that there emerged powerful movement for the recognition of Aboriginal land rights .",44,54,indigenous,9,8,17
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"However , it was not until the 1970s , when indigenous Australians ( both Australian Aborigines and Torres Strait Islanders ) became more politically active , that there emerged powerful movement for the recognition of Aboriginal land rights .",44,66,indigenous Australians,3,0,3
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"However , it was not until the 1970s , when indigenous Australians ( both Australian Aborigines and Torres Strait Islanders ) became more politically active , that there emerged powerful movement for the recognition of Aboriginal land rights .",74,95,Australian Aborigines,1,0,1
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"However , it was not until the 1970s , when indigenous Australians ( both Australian Aborigines and Torres Strait Islanders ) became more politically active , that there emerged powerful movement for the recognition of Aboriginal land rights .",74,123,Australian Aborigines and Torres Strait Islanders,1,0,1
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"However , it was not until the 1970s , when indigenous Australians ( both Australian Aborigines and Torres Strait Islanders ) became more politically active , that there emerged powerful movement for the recognition of Aboriginal land rights .",100,113,Torres Strait,1,0,1
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"However , it was not until the 1970s , when indigenous Australians ( both Australian Aborigines and Torres Strait Islanders ) became more politically active , that there emerged powerful movement for the recognition of Aboriginal land rights .",107,113,Strait,1,1,2
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"However , it was not until the 1970s , when indigenous Australians ( both Australian Aborigines and Torres Strait Islanders ) became more politically active , that there emerged powerful movement for the recognition of Aboriginal land rights .",114,123,Islanders,0,1,1
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"However , it was not until the 1970s , when indigenous Australians ( both Australian Aborigines and Torres Strait Islanders ) became more politically active , that there emerged powerful movement for the recognition of Aboriginal land rights .",138,149,politically,1,0,1
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"However , it was not until the 1970s , when indigenous Australians ( both Australian Aborigines and Torres Strait Islanders ) became more politically active , that there emerged powerful movement for the recognition of Aboriginal land rights .",170,177,emerged,6,4,10
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"However , it was not until the 1970s , when indigenous Australians ( both Australian Aborigines and Torres Strait Islanders ) became more politically active , that there emerged powerful movement for the recognition of Aboriginal land rights .",187,195,movement,0,1,1
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"However , it was not until the 1970s , when indigenous Australians ( both Australian Aborigines and Torres Strait Islanders ) became more politically active , that there emerged powerful movement for the recognition of Aboriginal land rights .",204,215,recognition,4,3,7
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"However , it was not until the 1970s , when indigenous Australians ( both Australian Aborigines and Torres Strait Islanders ) became more politically active , that there emerged powerful movement for the recognition of Aboriginal land rights .",219,229,Aboriginal,1,1,2
3XU9MCX6VODXPI3L8I02CM94TFB2R7,"However , it was not until the 1970s , when indigenous Australians ( both Australian Aborigines and Torres Strait Islanders ) became more politically active , that there emerged powerful movement for the recognition of Aboriginal land rights .",219,241,Aboriginal land rights,0,1,1
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,Her novel The Good Earth was the best-selling fiction book in the U.S. in 1931 and 1932 and won the Pulitzer Prize in 1932 .,4,9,novel,1,1,2
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,Her novel The Good Earth was the best-selling fiction book in the U.S. in 1931 and 1932 and won the Pulitzer Prize in 1932 .,33,45,best-selling,2,3,5
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,Her novel The Good Earth was the best-selling fiction book in the U.S. in 1931 and 1932 and won the Pulitzer Prize in 1932 .,46,53,fiction,6,5,11
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,Her novel The Good Earth was the best-selling fiction book in the U.S. in 1931 and 1932 and won the Pulitzer Prize in 1932 .,100,108,Pulitzer,0,1,1
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,Her novel The Good Earth was the best-selling fiction book in the U.S. in 1931 and 1932 and won the Pulitzer Prize in 1932 .,100,114,Pulitzer Prize,1,0,1
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"In 1921 , Buck 's mother died of a tropical disease , sprue , and shortly afterward her father moved in .",35,43,tropical,8,6,14
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"In 1921 , Buck 's mother died of a tropical disease , sprue , and shortly afterward her father moved in .",35,51,tropical disease,1,1,2
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"In 1921 , Buck 's mother died of a tropical disease , sprue , and shortly afterward her father moved in .",44,51,disease,2,1,3
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"In 1921 , Buck 's mother died of a tropical disease , sprue , and shortly afterward her father moved in .",54,59,sprue,7,4,11
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"In 1921 , Buck 's mother died of a tropical disease , sprue , and shortly afterward her father moved in .",74,83,afterward,1,3,4
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"From 1920 to 1933 , the Bucks made their home in Nanjing , on the campus of the University of Nanking , where both had teaching positions .",66,72,campus,4,1,5
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"From 1920 to 1933 , the Bucks made their home in Nanjing , on the campus of the University of Nanking , where both had teaching positions .",128,137,positions,2,0,2
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"In 1964 , to support children who were not eligible for adoption , Buck established the Pearl S. Buck Foundation ( now called Pearl S. Buck International ) to `` address poverty and discrimination faced by children in Asian countries . ''",43,51,eligible,6,1,7
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"In 1964 , to support children who were not eligible for adoption , Buck established the Pearl S. Buck Foundation ( now called Pearl S. Buck International ) to `` address poverty and discrimination faced by children in Asian countries . ''",56,64,adoption,4,6,10
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"In 1964 , to support children who were not eligible for adoption , Buck established the Pearl S. Buck Foundation ( now called Pearl S. Buck International ) to `` address poverty and discrimination faced by children in Asian countries . ''",72,83,established,4,1,5
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"In 1964 , to support children who were not eligible for adoption , Buck established the Pearl S. Buck Foundation ( now called Pearl S. Buck International ) to `` address poverty and discrimination faced by children in Asian countries . ''",102,112,Foundation,2,0,2
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"In 1964 , to support children who were not eligible for adoption , Buck established the Pearl S. Buck Foundation ( now called Pearl S. Buck International ) to `` address poverty and discrimination faced by children in Asian countries . ''",162,169,address,0,2,2
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"In 1964 , to support children who were not eligible for adoption , Buck established the Pearl S. Buck Foundation ( now called Pearl S. Buck International ) to `` address poverty and discrimination faced by children in Asian countries . ''",170,177,poverty,7,2,9
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"In 1964 , to support children who were not eligible for adoption , Buck established the Pearl S. Buck Foundation ( now called Pearl S. Buck International ) to `` address poverty and discrimination faced by children in Asian countries . ''",182,196,discrimination,10,9,19
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"She wrote on a diverse variety of topics including women 's rights , Asian cultures , immigration , adoption , missionary work , and war .",15,22,diverse,5,5,10
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"She wrote on a diverse variety of topics including women 's rights , Asian cultures , immigration , adoption , missionary work , and war .",15,30,diverse variety,1,0,1
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"She wrote on a diverse variety of topics including women 's rights , Asian cultures , immigration , adoption , missionary work , and war .",23,30,variety,0,1,1
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"She wrote on a diverse variety of topics including women 's rights , Asian cultures , immigration , adoption , missionary work , and war .",75,83,cultures,1,0,1
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"She wrote on a diverse variety of topics including women 's rights , Asian cultures , immigration , adoption , missionary work , and war .",86,97,immigration,6,7,13
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"She wrote on a diverse variety of topics including women 's rights , Asian cultures , immigration , adoption , missionary work , and war .",100,108,adoption,3,1,4
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"She wrote on a diverse variety of topics including women 's rights , Asian cultures , immigration , adoption , missionary work , and war .",111,121,missionary,8,3,11
3Y7LTZE0YTNFBLYE1J4L486VLNEUZB,"She wrote on a diverse variety of topics including women 's rights , Asian cultures , immigration , adoption , missionary work , and war .",111,126,missionary work,4,2,6
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Another Baroque piece that stands is the Chapel of Nuestra Señora del Rosario , which is a recognizable feature of the architecture of Quito .",8,15,Baroque,7,5,12
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Another Baroque piece that stands is the Chapel of Nuestra Señora del Rosario , which is a recognizable feature of the architecture of Quito .",8,21,Baroque piece,1,0,1
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Another Baroque piece that stands is the Chapel of Nuestra Señora del Rosario , which is a recognizable feature of the architecture of Quito .",22,33,that stands,0,1,1
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Another Baroque piece that stands is the Chapel of Nuestra Señora del Rosario , which is a recognizable feature of the architecture of Quito .",41,47,Chapel,0,2,2
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Another Baroque piece that stands is the Chapel of Nuestra Señora del Rosario , which is a recognizable feature of the architecture of Quito .",41,77,Chapel of Nuestra Señora del Rosario,1,0,1
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Another Baroque piece that stands is the Chapel of Nuestra Señora del Rosario , which is a recognizable feature of the architecture of Quito .",51,77,Nuestra Señora del Rosario,2,0,2
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Another Baroque piece that stands is the Chapel of Nuestra Señora del Rosario , which is a recognizable feature of the architecture of Quito .",91,103,recognizable,8,6,14
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Another Baroque piece that stands is the Chapel of Nuestra Señora del Rosario , which is a recognizable feature of the architecture of Quito .",91,111,recognizable feature,2,0,2
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Another Baroque piece that stands is the Chapel of Nuestra Señora del Rosario , which is a recognizable feature of the architecture of Quito .",104,111,feature,1,1,2
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Another Baroque piece that stands is the Chapel of Nuestra Señora del Rosario , which is a recognizable feature of the architecture of Quito .",119,131,architecture,8,3,11
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Another Baroque piece that stands is the Chapel of Nuestra Señora del Rosario , which is a recognizable feature of the architecture of Quito .",135,140,Quito,2,0,2
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"El Panecillo is a hill located in the middle west of the city at an altitude of about 3,016 metres ( 9,895 ft ) above sea level .",3,12,Panecillo,1,1,2
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"El Panecillo is a hill located in the middle west of the city at an altitude of about 3,016 metres ( 9,895 ft ) above sea level .",18,22,hill,0,1,1
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"El Panecillo is a hill located in the middle west of the city at an altitude of about 3,016 metres ( 9,895 ft ) above sea level .",68,76,altitude,9,3,12
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"El Panecillo is a hill located in the middle west of the city at an altitude of about 3,016 metres ( 9,895 ft ) above sea level .",118,127,sea level,1,0,1
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Axis is the nerve of the public space known as Independence Square or Plaza Grande ( colonial name ) , around which were built in addition the Archbishop 's Palace , the Municipal Palace , the Hotel Plaza Grande and the Metropolitan Cathedral .",0,4,Axis,1,2,3
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Axis is the nerve of the public space known as Independence Square or Plaza Grande ( colonial name ) , around which were built in addition the Archbishop 's Palace , the Municipal Palace , the Hotel Plaza Grande and the Metropolitan Cathedral .",12,17,nerve,3,3,6
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Axis is the nerve of the public space known as Independence Square or Plaza Grande ( colonial name ) , around which were built in addition the Archbishop 's Palace , the Municipal Palace , the Hotel Plaza Grande and the Metropolitan Cathedral .",47,59,Independence,1,2,3
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Axis is the nerve of the public space known as Independence Square or Plaza Grande ( colonial name ) , around which were built in addition the Archbishop 's Palace , the Municipal Palace , the Hotel Plaza Grande and the Metropolitan Cathedral .",85,93,colonial,2,3,5
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Axis is the nerve of the public space known as Independence Square or Plaza Grande ( colonial name ) , around which were built in addition the Archbishop 's Palace , the Municipal Palace , the Hotel Plaza Grande and the Metropolitan Cathedral .",121,126,built,0,1,1
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Axis is the nerve of the public space known as Independence Square or Plaza Grande ( colonial name ) , around which were built in addition the Archbishop 's Palace , the Municipal Palace , the Hotel Plaza Grande and the Metropolitan Cathedral .",130,138,addition,1,0,1
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Axis is the nerve of the public space known as Independence Square or Plaza Grande ( colonial name ) , around which were built in addition the Archbishop 's Palace , the Municipal Palace , the Hotel Plaza Grande and the Metropolitan Cathedral .",143,153,Archbishop,6,0,6
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Axis is the nerve of the public space known as Independence Square or Plaza Grande ( colonial name ) , around which were built in addition the Archbishop 's Palace , the Municipal Palace , the Hotel Plaza Grande and the Metropolitan Cathedral .",170,179,Municipal,5,0,5
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Axis is the nerve of the public space known as Independence Square or Plaza Grande ( colonial name ) , around which were built in addition the Archbishop 's Palace , the Municipal Palace , the Hotel Plaza Grande and the Metropolitan Cathedral .",220,232,Metropolitan,2,0,2
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Axis is the nerve of the public space known as Independence Square or Plaza Grande ( colonial name ) , around which were built in addition the Archbishop 's Palace , the Municipal Palace , the Hotel Plaza Grande and the Metropolitan Cathedral .",220,242,Metropolitan Cathedral,3,0,3
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"Axis is the nerve of the public space known as Independence Square or Plaza Grande ( colonial name ) , around which were built in addition the Archbishop 's Palace , the Municipal Palace , the Hotel Plaza Grande and the Metropolitan Cathedral .",233,242,Cathedral,0,1,1
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,A monument to the Virgin Mary is located on top of El Panecillo and is visible from most of the city of Quito .,2,10,monument,6,4,10
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,A monument to the Virgin Mary is located on top of El Panecillo and is visible from most of the city of Quito .,18,29,Virgin Mary,1,0,1
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,A monument to the Virgin Mary is located on top of El Panecillo and is visible from most of the city of Quito .,54,63,Panecillo,1,0,1
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,A monument to the Virgin Mary is located on top of El Panecillo and is visible from most of the city of Quito .,71,78,visible,2,1,3
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,A monument to the Virgin Mary is located on top of El Panecillo and is visible from most of the city of Quito .,104,109,Quito,0,1,1
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"To this end , areas were organized to locate objects within their cultural contexts , to make them accessible to the world , which used several rooms and spaces within the palace .",0,11,To this end,1,0,1
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"To this end , areas were organized to locate objects within their cultural contexts , to make them accessible to the world , which used several rooms and spaces within the palace .",25,34,organized,5,1,6
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"To this end , areas were organized to locate objects within their cultural contexts , to make them accessible to the world , which used several rooms and spaces within the palace .",66,74,cultural,2,0,2
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"To this end , areas were organized to locate objects within their cultural contexts , to make them accessible to the world , which used several rooms and spaces within the palace .",66,83,cultural contexts,3,3,6
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"To this end , areas were organized to locate objects within their cultural contexts , to make them accessible to the world , which used several rooms and spaces within the palace .",75,83,contexts,2,4,6
3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ,"To this end , areas were organized to locate objects within their cultural contexts , to make them accessible to the world , which used several rooms and spaces within the palace .",99,109,accessible,9,5,14
3HYV4299H0XJ2T052TP3N6NO0QD8E3,"Beethoven 's Symphony No. 7 , Bruckner 's Symphony No. 6 and Mendelssohn 's Symphony No. 4 comprise a nearly complete list of symphonies in this key in the Romantic era .",0,9,Beethoven,0,1,1
3HYV4299H0XJ2T052TP3N6NO0QD8E3,"Beethoven 's Symphony No. 7 , Bruckner 's Symphony No. 6 and Mendelssohn 's Symphony No. 4 comprise a nearly complete list of symphonies in this key in the Romantic era .",13,21,Symphony,8,5,13
3HYV4299H0XJ2T052TP3N6NO0QD8E3,"Beethoven 's Symphony No. 7 , Bruckner 's Symphony No. 6 and Mendelssohn 's Symphony No. 4 comprise a nearly complete list of symphonies in this key in the Romantic era .",42,50,Symphony,0,2,2
3HYV4299H0XJ2T052TP3N6NO0QD8E3,"Beethoven 's Symphony No. 7 , Bruckner 's Symphony No. 6 and Mendelssohn 's Symphony No. 4 comprise a nearly complete list of symphonies in this key in the Romantic era .",76,84,Symphony,1,0,1
3HYV4299H0XJ2T052TP3N6NO0QD8E3,"Beethoven 's Symphony No. 7 , Bruckner 's Symphony No. 6 and Mendelssohn 's Symphony No. 4 comprise a nearly complete list of symphonies in this key in the Romantic era .",91,99,comprise,8,4,12
3HYV4299H0XJ2T052TP3N6NO0QD8E3,"Beethoven 's Symphony No. 7 , Bruckner 's Symphony No. 6 and Mendelssohn 's Symphony No. 4 comprise a nearly complete list of symphonies in this key in the Romantic era .",102,108,nearly,0,2,2
3HYV4299H0XJ2T052TP3N6NO0QD8E3,"Beethoven 's Symphony No. 7 , Bruckner 's Symphony No. 6 and Mendelssohn 's Symphony No. 4 comprise a nearly complete list of symphonies in this key in the Romantic era .",126,136,symphonies,6,2,8
3HYV4299H0XJ2T052TP3N6NO0QD8E3,"Beethoven 's Symphony No. 7 , Bruckner 's Symphony No. 6 and Mendelssohn 's Symphony No. 4 comprise a nearly complete list of symphonies in this key in the Romantic era .",145,148,key,2,0,2
